Model Name,Accuracy train,Precision train,Recall train,F1 train,F1 Avg Weighted train,F2 train,ROC AUC train,Accuracy test,Precision test,Recall test,F1 test,F1 Avg Weighted test,F2 test,ROC AUC test,CV-5-Mean,CV-5-SD
CatBoostClassifier,0.8594,0.8391,0.3755,0.5189,0.8371,0.4222,0.8626,0.8169,0.6089,0.2605,0.3649,0.7864,0.2941,0.7557,0.3133,0.0044
GradientBoostingClassifier SMOTE + ENN,0.4881,0.3458,0.4333,0.3846,0.4964,0.4124,0.4767,0.4885,0.1591,0.3578,0.2203,0.5389,0.2863,0.4397,0.4239,0.0125
CatBoostClassifier SMOTE + ENN,0.9428,0.9712,0.8708,0.9183,0.942,0.8892,0.9834,0.8228,0.6775,0.2337,0.3475,0.7864,0.269,0.7606,0.864,0.0024
RandomForestClassifier,0.825,0.6918,0.2408,0.3572,0.7894,0.2769,0.7465,0.8231,0.6823,0.2319,0.3462,0.7863,0.2672,0.7449,0.2806,0.0075
LGBMClassifier SMOTE + ENN,0.7393,0.8728,0.3441,0.4936,0.7023,0.3915,0.6574,0.8194,0.6523,0.2267,0.3365,0.7826,0.2607,0.5981,0.4378,0.2048
BernoulliNB,0.8195,0.6858,0.1957,0.3046,0.7768,0.2284,0.7137,0.8172,0.6719,0.1856,0.2909,0.7731,0.217,0.7128,0.2285,0.0099
XGBClassifier SMOTE + ENN,0.6323,0.5042,0.2417,0.3268,0.5919,0.2698,0.5514,0.728,0.2675,0.1995,0.2286,0.7124,0.2102,0.5307,0.528,0.1731
LogisticRegression,0.8199,0.758,0.1588,0.2626,0.7692,0.1886,0.7409,0.8183,0.7502,0.1502,0.2503,0.7661,0.1788,0.7398,0.1885,0.0049
AdaBoostClassifier ENN,0.2194,0.1219,0.0873,0.1018,0.2044,0.0926,0.2276,0.4516,0.085,0.1756,0.1145,0.5042,0.1447,0.3485,0.2412,0.2965
AdaBoostClassifier SMOTE,0.3255,0.2149,0.1315,0.1632,0.2991,0.1426,0.3381,0.4516,0.085,0.1756,0.1145,0.5042,0.1447,0.3485,0.1426,0.0023
AdaBoostClassifier ADASYN,0.3228,0.2286,0.1356,0.1702,0.296,0.1476,0.342,0.4516,0.085,0.1756,0.1145,0.5042,0.1447,0.3485,0.1476,0.0038
LGBMClassifier ENN,0.502,0.9933,0.0165,0.0325,0.3446,0.0206,0.7272,0.8004,0.7801,0.0164,0.0322,0.7158,0.0204,0.6371,0.2,0.3238
